num	year	budget	budget_o	order	gp	boxoffice_o	bo	cpi	link	title	poster
42	1954	None	None	2	FALSE	6.5	6.5	26.8	http://en.wikipedia.org/wiki/The_Country_Girl_(1954_film)	The Country Girl	1954-nm-TheCountryGirl.jpg
303	1954	ERR Theatrical release poster	ERR Theatrical release poster	3	FALSE	5.6	5.6	26.8	http://en.wikipedia.org/wiki/Seven_Brides_for_Seven_Brothers_(film)	Seven Brides for Seven Brothers	1954-nm-SevenBridesforSevenBrothers.jpg
299	1953	None	None	3	FALSE	None	None	26.6	http://en.wikipedia.org/wiki/Julius_Caesar_(1953_film)	Julius Caesar	1953-nm-JuliusCaesar.jpeg
382	1953	4.1	4.1	4	FALSE	ERR  36 million (United States) 	ERR  36 million (United States) 	26.6	http://en.wikipedia.org/wiki/The_Robe_(film)	The Robe	1953-nm-TheRobe.jpg
298	1953	1.65	1.65	0	TRUE	30.5	30.5	26.6	http://en.wikipedia.org/wiki/From_Here_to_Eternity	From Here to Eternity	1953-gp-FromHeretoEternity.jpg
301	1953	3.1	3.1	1	FALSE	20	20	26.6	http://en.wikipedia.org/wiki/Shane_(film)	Shane	1953-nm-Shane.png
300	1953	1.5	1.5	2	FALSE	12	12	26.6	http://en.wikipedia.org/wiki/Roman_Holiday	Roman Holiday	1953-nm-RomanHoliday.jpg
296	1952	None	None	4	FALSE	ERR USD 6 million (US)   	ERR USD 6 million (US)   	25.65	http://en.wikipedia.org/wiki/Ivanhoe_(1952_film)	Ivanhoe	1952-nm-Ivanhoe.jpg
297	1952	1.75	1.75	3	FALSE	ERR  3.2 million (US) 	ERR  3.2 million (US) 	25.65	http://en.wikipedia.org/wiki/The_Quiet_Man	The Quiet Man	1952-nm-TheQuietMan.jpg
294	1952	None	None	0	TRUE	ERR  12.8 million (US / Canada rentals)  	ERR  12.8 million (US / Canada rentals)  	25.65	http://en.wikipedia.org/wiki/The_Greatest_Show_on_Earth	The Greatest Show on Earth	1952-gp-TheGreatestShowonEarth.gif
295	1952	0.73	0.73	1	FALSE	12	12	25.65	http://en.wikipedia.org/wiki/High_Noon	High Noon	1952-nm-HighNoon.jpg
12	1952	1.5	ERR USD 1.5 million (approx. £0.967785)	2	FALSE	5	5	25.65	http://en.wikipedia.org/wiki/Moulin_Rouge_(1952_film)	Moulin Rouge	1952-nm-MoulinRouge.jpg
375	1951	2.723903	2.723903	0	TRUE	ERR  4.5  8.005(worldwide theatrical rentals)	ERR  4.5  8.005(worldwide theatrical rentals)	25.6	http://en.wikipedia.org/wiki/An_American_in_Paris_(film)	An American in Paris	1951-gp-AnAmericaninParis.jpg
115	1951	None	None	4	FALSE	ERR  1.55 million (US rentals) 	ERR  1.55 million (US rentals) 	25.6	http://en.wikipedia.org/wiki/Decision_Before_Dawn	Decision Before Dawn	1951-nm-DecisionBeforeDawn.jpg
376	1951	7	7	1	FALSE	30	30	25.6	http://en.wikipedia.org/wiki/Quo_Vadis_(1951_film)	Quo Vadis	1951-nm-QuoVadis.jpg
293	1951	1.8	1.8	2	FALSE	8	8	25.6	http://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(1951_film)	A Streetcar Named Desire	1951-nm-AStreetcarNamedDesire.jpg
11	1951	2.295304	2.295304	3	FALSE	7	7	25.6	http://en.wikipedia.org/wiki/A_Place_in_the_Sun_(film)	A Place in the Sun	1951-nm-APlaceintheSun.gif
114	1950	1.2	1.2	4	FALSE	ERR  6 million (worldwide rentals) 	ERR  6 million (worldwide rentals) 	24.1	http://en.wikipedia.org/wiki/Father_of_the_Bride_(1950_film)	Father of the Bride	1950-nm-FatheroftheBride.jpg
222	1950	None	None	3	FALSE	ERR  4.15 million (US rentals) 	ERR  4.15 million (US rentals) 	24.1	http://en.wikipedia.org/wiki/Born_Yesterday_(1950_film)	Born Yesterday	1950-nm-BornYesterday.jpg
10	1950	2.258	2.258	1	FALSE	10.05	10.05	24.1	http://en.wikipedia.org/wiki/King_Solomon%27s_Mines_(1950_film)	King Solomon's Mines	1950-nm-KingSolomonsMines.jpg
453	1950	1.4	1.4	0	TRUE	8.4	8.4	24.1	http://en.wikipedia.org/wiki/All_About_Eve	All About Eve	1950-gp-AllAboutEve.jpeg
454	1950	1.75	1.75	2	FALSE	5	5	24.1	http://en.wikipedia.org/wiki/Sunset_Boulevard_(film)	Sunset Boulevard	1950-nm-SunsetBoulevard.jpg
291	1949	None	None	1	FALSE	None	None	23.8	http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives	A Letter to Three Wives	1949-nm-ALettertoThreeWives.jpg
290	1949	2	2	4	FALSE	ERR  4.7 million (North American rentals) 	ERR  4.7 million (North American rentals) 	23.8	http://en.wikipedia.org/wiki/Battleground_(1949_film)	Battleground	1949-nm-Battleground.jpg
292	1949	None	None	3	FALSE	ERR  3.225 (U.S. rentals) 	ERR  3.225 (U.S. rentals) 	23.8	http://en.wikipedia.org/wiki/Twelve_O%27Clock_High	Twelve O'Clock High	1949-nm-TwelveOClockHigh.jpg
289	1949	None	None	0	TRUE	ERR  2.4 million (US rentals) 	ERR  2.4 million (US rentals) 	23.8	http://en.wikipedia.org/wiki/All_the_King%27s_Men_(1949_film)	All the King's Men	1949-gp-AlltheKingsMen.jpg
48	1949	2.6	2.6	2	FALSE	ERR  2.3 million (US rentals) 	ERR  2.3 million (US rentals) 	23.8	http://en.wikipedia.org/wiki/The_Heiress	The Heiress	1949-nm-TheHeiress.jpg
286	1948	ERR £0.6 	ERR £0.6 	0	TRUE	None	None	24.4	http://en.wikipedia.org/wiki/Hamlet_(1948_film)	Hamlet	1948-gp-Hamlet.jpg
288	1948	3	3	4	FALSE	ERR  4.307(rentals)	ERR  4.307(rentals)	24.4	http://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film)	The Treasure of the Sierra Madre	1948-nm-TheTreasureoftheSierraMadre.jpg
113	1948	None	None	3	FALSE	ERR  4.1 million (US/Canada rentals) 	ERR  4.1 million (US/Canada rentals) 	24.4	http://en.wikipedia.org/wiki/The_Snake_Pit	The Snake Pit	1948-nm-TheSnakePit.jpg
47	1948	None	None	2	FALSE	ERR  4.1 million (US/ Canada rentals) 	ERR  4.1 million (US/ Canada rentals) 	24.4	http://en.wikipedia.org/wiki/Johnny_Belinda_(1948_film)	Johnny Belinda	1948-nm-JohnnyBelinda.jpg
287	1948	ERR £0.551927 	ERR £0.551927 	1	FALSE	5	5	24.4	http://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film)	The Red Shoes	1948-nm-TheRedShoes.jpg
44	1947	None	None	2	FALSE	None	None	21.9	http://en.wikipedia.org/wiki/The_Bishop%27s_Wife	The Bishop's Wife	1947-nm-TheBishopsWife.gif
45	1947	0.25	0.25	3	FALSE	None	None	21.9	http://en.wikipedia.org/wiki/Crossfire_(film)	Crossfire	1947-nm-Crossfire.jpg
46	1947	None	None	4	FALSE	ERR Theatrical release poster	ERR Theatrical release poster	21.9	http://en.wikipedia.org/wiki/Great_Expectations_(1946_film)	Great Expectations	1947-nm-GreatExpectations.jpg
285	1947	1.985	1.985	0	TRUE	7.8	7.8	21.9	http://en.wikipedia.org/wiki/Gentleman%27s_Agreement	Gentleman's Agreement	1947-gp-GentlemansAgreement.jpg
214	1947	0.63	0.63	1	FALSE	3.15	3.15	21.9	http://en.wikipedia.org/wiki/Miracle_on_34th_Street	Miracle on 34th Street	1947-nm-Miracleon34thStreet.jpg
284	1946	ERR £0.475	ERR £0.475	4	FALSE	None	None	18.1	http://en.wikipedia.org/wiki/Henry_V_(1944_film)	Henry V	1946-nm-HenryV.jpg
283	1946	2.1	2.1	0	TRUE	23.65	23.65	18.1	http://en.wikipedia.org/wiki/The_Best_Years_of_Our_Lives	The Best Years of Our Lives	1946-gp-TheBestYearsofOurLives.jpg
112	1946	4	4	1	FALSE	7	7	18.1	http://en.wikipedia.org/wiki/The_Yearling_(film)	The Yearling	1946-nm-TheYearling.jpg
111	1946	1.2	1.2	2	FALSE	5	5	18.1	http://en.wikipedia.org/wiki/The_Razor%27s_Edge_(1946_film)	The Razor's Edge	1946-nm-TheRazorsEdge.jpg
494	1946	3.18	ERR  3.18 million[N 1]	3	FALSE	3.3	3.3	18.1	http://en.wikipedia.org/wiki/It%27s_a_Wonderful_Life	It's a Wonderful Life	1946-nm-ItsaWonderfulLife.jpg
213	1945	1.453	1.453	1	FALSE	None	None	17.8	http://en.wikipedia.org/wiki/Mildred_Pierce_(film)	Mildred Pierce	1945-nm-MildredPierce.jpg
282	1945	ERR US 1.5 million	ERR US 1.5 million	4	FALSE	ERR US 6.387 (by 1947) 	ERR US 6.387 (by 1947) 	17.8	http://en.wikipedia.org/wiki/Spellbound_(1945_film)	Spellbound	1945-nm-Spellbound.jpg
109	1945	None	None	3	FALSE	ERR  4.5 million (US/ Canada rentals) 	ERR  4.5 million (US/ Canada rentals) 	17.8	http://en.wikipedia.org/wiki/Anchors_Aweigh_(film)	Anchors Aweigh	1945-nm-AnchorsAweigh.jpg
281	1945	1.25	1.25	0	TRUE	ERR  4.3 million (US/ Canada rentals) 	ERR  4.3 million (US/ Canada rentals) 	17.8	http://en.wikipedia.org/wiki/The_Lost_Weekend_(film)	The Lost Weekend	1945-gp-TheLostWeekend.jpg
110	1945	None	None	2	FALSE	ERR  21.333333 (United States) 	ERR  21.333333 (United States) 	17.8	http://en.wikipedia.org/wiki/The_Bells_of_St._Mary%27s	The Bells of St. Mary's	1945-nm-TheBellsofStMarys.jpg
401	1944	2.995	2.995	4	FALSE	ERR  2.0(rentals) 	ERR  2.0(rentals) 	17.7	http://en.wikipedia.org/wiki/Wilson_(film)	Wilson	1944-nm-Wilson.jpg
43	1944	3.257	3.257	1	FALSE	7	7	17.7	http://en.wikipedia.org/wiki/Since_You_Went_Away	Since You Went Away	1944-nm-SinceYouWentAway.jpg
212	1944	None	None	0	TRUE	6.5	6.5	17.7	http://en.wikipedia.org/wiki/Going_My_Way	Going My Way	1944-gp-GoingMyWay.jpg
452	1944	0.98	0.98	2	FALSE	5	5	17.7	http://en.wikipedia.org/wiki/Double_Indemnity_(film)	Double Indemnity	1944-nm-DoubleIndemnity.jpg
108	1944	2.068	2.068	3	FALSE	4.613	4.613	17.7	http://en.wikipedia.org/wiki/Gaslight_(1944_film)	Gaslight	1944-nm-Gaslight.jpg
107	1943	None	None	2	FALSE	None	None	17.4	http://en.wikipedia.org/wiki/Watch_on_the_Rhine	Watch on the Rhine	1943-nm-WatchontheRhine.jpg
104	1943	None	None	3	FALSE	None	None	17.4	http://en.wikipedia.org/wiki/The_Human_Comedy_(film)	The Human Comedy	1943-nm-TheHumanComedy.jpg
374	1943	0.878	0.878	4	FALSE	None	None	17.4	http://en.wikipedia.org/wiki/The_More_the_Merrier	The More the Merrier	1943-nm-TheMoretheMerrier.jpg
105	1943	None	None	5	FALSE	None	None	17.4	http://en.wikipedia.org/wiki/Madame_Curie_(film)	Madame Curie	1943-nm-MadameCurie.jpg
279	1943	ERR £0.24 	ERR £0.24 	9	FALSE	ERR £0.3 (Commonwealth) 2 million (US rentals) 	ERR £0.3 (Commonwealth) 2 million (US rentals) 	17.4	http://en.wikipedia.org/wiki/In_Which_We_Serve	In Which We Serve	1943-nm-InWhichWeServe.jpg
280	1943	1.6	1.6	8	FALSE	ERR  5 million (US/ Canada rentals) 	ERR  5 million (US/ Canada rentals) 	17.4	http://en.wikipedia.org/wiki/The_Song_of_Bernadette_(film)	The Song of Bernadette	1943-nm-TheSongofBernadette.jpg
451	1943	0.964	0.964	0	TRUE	ERR  3.7 million(initial US release)	ERR  3.7 million(initial US release)	17.4	http://en.wikipedia.org/wiki/Casablanca_(film)	Casablanca	1943-gp-Casablanca.jpg
103	1943	1.115	1.115	7	FALSE	ERR  2.5 million(rentals) 	ERR  2.5 million(rentals) 	17.4	http://en.wikipedia.org/wiki/Heaven_Can_Wait_(1943_film)	Heaven Can Wait	1943-nm-HeavenCanWait.jpg
106	1943	0.565	0.565	6	FALSE	ERR  0.75(rentals) 	ERR  0.75(rentals) 	17.4	http://en.wikipedia.org/wiki/The_Ox-Bow_Incident	The Ox-Bow Incident	1943-nm-TheOxBowIncident.jpg
102	1943	None	None	1	FALSE	7.1	7.1	17.4	http://en.wikipedia.org/wiki/For_Whom_the_Bell_Tolls_(film)	For Whom the Bell Tolls	1943-nm-ForWhomtheBellTolls.jpg
101	1942	None	None	3	FALSE	None	None	16.0	http://en.wikipedia.org/wiki/Wake_Island_(1942_film)	Wake Island	1942-nm-WakeIsland.jpg
211	1942	None	None	4	FALSE	None	None	16.0	http://en.wikipedia.org/wiki/The_Pied_Piper_(1942_film)	The Pied Piper	1942-nm-ThePiedPiper.jpg
100	1942	1	1	5	FALSE	None	None	16.0	http://en.wikipedia.org/wiki/The_Talk_of_the_Town_(1942_film)	The Talk of the Town	1942-nm-TheTalkoftheTown.jpg
450	1942	None	None	6	FALSE	None	None	16.0	http://en.wikipedia.org/wiki/The_Pride_of_the_Yankees	The Pride of the Yankees	1942-nm-ThePrideoftheYankees.jpg
449	1942	1	1	7	FALSE	None	None	16.0	http://en.wikipedia.org/wiki/The_Magnificent_Ambersons_(film)	The Magnificent Ambersons	1942-nm-TheMagnificentAmbersons.jpg
277	1942	ERR £0.132 	ERR £0.132 	9	FALSE	ERR £0.25 (in Britain) 	ERR £0.25 (in Britain) 	16.0	http://en.wikipedia.org/wiki/49th_Parallel_(film)	49th Parallel	1942-nm-49thParallel.jpg
384	1942	2	2	8	FALSE	ERR  4.65 (Domestic earnings)  3.497 (Foreign earnings)	ERR  4.65 (Domestic earnings)  3.497 (Foreign earnings)	16.0	http://en.wikipedia.org/wiki/Random_Harvest_(film)	Random Harvest	1942-nm-RandomHarvest.jpg
407	1942	None	None	1	FALSE	11.8	11.8	16.0	http://en.wikipedia.org/wiki/Yankee_Doodle_Dandy	Yankee Doodle Dandy	1942-nm-YankeeDoodleDandy.jpeg
276	1942	1.344	1.344	0	TRUE	8.878	8.878	16.0	http://en.wikipedia.org/wiki/Mrs._Miniver_(film)	Mrs. Miniver	1942-gp-MrsMiniver.gif
278	1942	1.081698	1.081698	2	FALSE	5.093	5.093	16.0	http://en.wikipedia.org/wiki/Kings_Row	Kings Row	1942-nm-KingsRow.jpg
84	1941	None	None	2	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/Here_Comes_Mr._Jordan	Here Comes Mr. Jordan	1941-nm-HereComesMrJordan.jpg
98	1941	None	None	3	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/Blossoms_in_the_Dust	Blossoms in the Dust	1941-nm-BlossomsintheDust.jpg
189	1941	None	None	4	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/Hold_Back_the_Dawn	Hold Back the Dawn	1941-nm-HoldBacktheDawn.png
273	1941	None	None	5	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/The_Little_Foxes_(film)	The Little Foxes	1941-nm-TheLittleFoxes.jpg
274	1941	None	None	6	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/One_Foot_in_Heaven	One Foot in Heaven	1941-nm-OneFootinHeaven.jpg
406	1941	0.375	0.375	7	FALSE	None	None	14.4	http://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film)	The Maltese Falcon	1941-nm-TheMalteseFalcon.jpg
275	1941	1.103	1.103	9	FALSE	ERR US  4.5	ERR US  4.5	14.4	http://en.wikipedia.org/wiki/Suspicion_(1941_film)	Suspicion	1941-nm-Suspicion.jpg
448	1941	0.839727	0.839727	8	FALSE	ERR  1.585634 (United States)	ERR  1.585634 (United States)	14.4	http://en.wikipedia.org/wiki/Citizen_Kane	Citizen Kane	1941-nm-CitizenKane.jpg
99	1941	1.4	1.4	1	FALSE	16.361885	16.361885	14.4	http://en.wikipedia.org/wiki/Sergeant_York	Sergeant York	1941-nm-SergeantYork.gif
272	1941	0.8	0.8	0	TRUE	6	6	14.4	http://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film)	How Green Was My Valley	1941-gp-HowGreenWasMyValley.jpg
97	1940	None	None	6	FALSE	None	None	13.9	http://en.wikipedia.org/wiki/Our_Town_(1940_film)	Our Town	1940-nm-OurTown.jpg
266	1940	None	None	7	FALSE	None	None	13.9	http://en.wikipedia.org/wiki/All_This,_and_Heaven_Too	All This, and Heaven Too	1940-nm-AllThisandHeavenToo.jpg
447	1940	None	None	8	FALSE	None	None	13.9	http://en.wikipedia.org/wiki/The_Letter_(1940_film)	The Letter	1940-nm-TheLetter.jpg
